Category,Topic,Subtopic,File,Path,Words,Headings,CodeBlocks,SectionScore,Status,Has_à_compléter,PriorityHint,,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/actions,actions,bindings.md,references/server_framework/actions/bindings.md,62,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/actions,actions,client_actions_ir_actions_client.md,references/server_framework/actions/client_actions_ir_actions_client.md,66,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/actions,actions,report_actions_ir_actions_report.md,references/server_framework/actions/report_actions_ir_actions_report.md,66,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/actions,actions,url_actions_ir_actions_act_url.md,references/server_framework/actions/url_actions_ir_actions_act_url.md,66,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/mixins_and_useful_classes,mixins_and_useful_classes,messaging_features.md,references/server_framework/mixins_and_useful_classes/messaging_features.md,63,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/mixins_and_useful_classes,mixins_and_useful_classes,others.md,references/server_framework/mixins_and_useful_classes/others.md,62,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/mixins_and_useful_classes,mixins_and_useful_classes,website_features.md,references/server_framework/mixins_and_useful_classes/website_features.md,63,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/module_manifests,module_manifests,manifest.md,references/server_framework/module_manifests/manifest.md,62,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/orm_api,orm_api,changelog.md,references/server_framework/orm_api/changelog.md,76,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/performance,performance,profiling.md,references/server_framework/performance/profiling.md,62,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/qweb_reports,qweb_reports,custom_fonts.md,references/server_framework/qweb_reports/custom_fonts.md,77,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/qweb_reports,qweb_reports,custom_reports.md,references/server_framework/qweb_reports/custom_reports.md,77,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/qweb_reports,qweb_reports,paper_format.md,references/server_framework/qweb_reports/paper_format.md,77,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/qweb_reports,qweb_reports,report_template.md,references/server_framework/qweb_reports/report_template.md,77,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/qweb_reports,qweb_reports,reports_are_web_pages.md,references/server_framework/qweb_reports/reports_are_web_pages.md,79,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/testing_odoo,testing_odoo,integration_testing.md,references/server_framework/testing_odoo/integration_testing.md,63,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/testing_odoo,testing_odoo,performance_testing.md,references/server_framework/testing_odoo/performance_testing.md,63,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
server_framework,server_framework/testing_odoo,testing_odoo,testing_js_code.md,references/server_framework/testing_odoo/testing_js_code.md,64,9,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_interface,user_interface/scss_inheritance,scss_inheritance,odoo_s_scss_inheritance_system.md,references/user_interface/scss_inheritance/odoo_s_scss_inheritance_system.md,32,7,1,6,Placeholder,1,HIGH (placeholder),,,,,,,,,,,,,,,,,,,,,,,,,,,,
